"Andrew Leigh",,,,
"Brian Gerrish",,,,
"Dan Sheaff",,,,
"Danny Bamping",,,,
"Graham Reed","Q75838766","2019 United Kingdom general election","Plymouth Sutton and Devonport","Liberal Democrats"
"Henrietta Bewley","Q75838981","2019 United Kingdom general election","Ealing North","Liberal Democrats"
"James Ellwood",,,,
"Judy Evans",,,,
"Laura-Jane Rossington",,,,
"Libby Brown",,,,
"Rebecca Smith","Q76736903","2019 United Kingdom general election","Plymouth Sutton and Devonport","Conservative Party"
"Richard Ellison",,,,
"Robert Hawkins",,,,
"Roy Kettle",,,,
"Tony Brown",,,,
